type,category,overlap
name,0,0.9459459459459459
name,0,0.9
name,0,0.9
name,0,0.9459459459459459
name,0,0.88
name,0,0.9066666666666666
name,0,0.8765432098765432
name,0,0.8888888888888888
name,0,0.9066666666666666
name,0,0.88
name,0,0.88
name,0,0.9066666666666666
name,0,0.9
name,0,0.9459459459459459
name,0,0.9066666666666666
name,0,0.88
name,0,0.9066666666666666
name,0,0.88
name,0,0.9
name,0,0.9459459459459459
name,0,0.9459459459459459
name,0,0.9
name,0,0.9
name,0,0.9459459459459459
name,0,0.0
name,0,0.0
name,0,0.9
name,0,0.9459459459459459
name,0,0.88
name,0,0.9066666666666666
